"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2022/03/09","00:00","-0.259","-","-0.333"
"2022/03/09","01:00","-0.131","-","-0.2"
"2022/03/09","02:00","0.01","-","-0.016"
"2022/03/09","03:00","0.163","-","0.12"
"2022/03/09","04:00","0.303","-","0.214"
"2022/03/09","05:00","0.379","-","0.247"
"2022/03/09","06:00","0.348","-","0.204"
"2022/03/09","07:00","0.203","-","0.06"
"2022/03/09","08:00","-0.011","-","-0.121"
"2022/03/09","09:00","-0.214","-","-0.316"
"2022/03/09","10:00","-0.328","-","-0.42"
"2022/03/09","11:00","-0.345","-","-0.426"
"2022/03/09","12:00","-0.313","-","-0.356"
"2022/03/09","13:00","-0.26","-","-0.28"
"2022/03/09","14:00","-0.177","-","-0.143"
"2022/03/09","15:00","-0.053","-","-0.002"
"2022/03/09","16:00","0.093","-","0.168"
"2022/03/09","17:00","0.205","-","0.247"
"2022/03/09","18:00","0.223","-","0.321"
"2022/03/09","19:00","0.123","-","0.104"
"2022/03/09","20:00","-0.061","-","-0.026"
"2022/03/09","21:00","-0.258","-","-0.156"
"2022/03/09","22:00","-0.378","-","-0.221"
"2022/03/09","23:00","-0.382","-","-0.173"
"2022/03/10","00:00","-0.308","-","-0.094"
"2022/03/10","01:00","-0.208","-","-0.034"
"2022/03/10","02:00","-0.1","-","0.086"
"2022/03/10","03:00","0.02","-","0.169"
"2022/03/10","04:00","0.149","-","0.355"
"2022/03/10","05:00","0.261","-","0.469"
"2022/03/10","06:00","0.309","-","0.577"
"2022/03/10","07:00","0.264","-","0.467"
"2022/03/10","08:00","0.137","-","0.306"
"2022/03/10","09:00","-0.034","-","0.108"
"2022/03/10","10:00","-0.187","-","0.002"
"2022/03/10","11:00","-0.274","-","-0.056"
"2022/03/10","12:00","-0.294","-","-0.023"
"2022/03/10","13:00","-0.281","-","-0.046"
"2022/03/10","14:00","-0.245","-","-0.046"
"2022/03/10","15:00","-0.17","-","-0.04"
"2022/03/10","16:00","-0.052","-","0.058"
"2022/03/10","17:00","0.081","-","0.214"
"2022/03/10","18:00","0.171","-","0.329"
"2022/03/10","19:00","0.171","-","0.316"
"2022/03/10","20:00","0.076","-","0.244"
"2022/03/10","21:00","-0.08","-","0.042"
"2022/03/10","22:00","-0.237","-","-0.094"
"2022/03/10","23:00","-0.331","-","-0.153"
"2022/03/11","00:00","-0.335","-","-0.134"
"2022/03/11","01:00","-0.279","-","-0.065"
"2022/03/11","02:00","-0.199","-","0"
"2022/03/11","03:00","-0.103","-","0.072"
"2022/03/11","04:00","0.011","-","0.196"
"2022/03/11","05:00","0.131","-","0.334"
"2022/03/11","06:00","0.226","-","0.414"
"2022/03/11","07:00","0.257","-","0.399"
"2022/03/11","08:00","0.215","-","0.339"
"2022/03/11","09:00","0.114","-","0.196"
"2022/03/11","10:00","-0.023","-","0.039"
"2022/03/11","11:00","-0.155","-","-0.097"
"2022/03/11","12:00","-0.242","-","-0.178"
"2022/03/11","13:00","-0.279","-","-0.201"
"2022/03/11","14:00","-0.285","-","-0.196"
"2022/03/11","15:00","-0.254","-","-0.19"
"2022/03/11","16:00","-0.173","-","-0.115"
